component,metric,value,denominator,rate,status,notes
mapping_coverage,mapped_raw_field_codes,73,73,1.0,PASS,Effective-dated FFIEC raw codes represented in the final mapping.
mapping_coverage,effective_dated_mapping_rows,73,73,1.0,PASS,Mapping retains start_date and end_date fields.
missingness,missing_nco_rate_observations_retained,1888,8145,0.2317986494782075,RETAINED_MISSING,Missing segment NCO rates are not filled with zero.
reconciliation,nco_reconciliation_bank_quarters,1,2715,0.00036832412523020257,EXPLAINED_SOURCE_FILING_INCONSISTENCY,The REVIEW_REQUIRED item remains visible and is not reclassified.
reconciliation,nco_reconciliation_bank_quarters,1,2715,0.00036832412523020257,EXPLAINED_YTD_RECLASS_GROSS_FLOW,The REVIEW_REQUIRED item remains visible and is not reclassified.
reconciliation,nco_reconciliation_bank_quarters,30,2715,0.011049723756906077,NOT_EVALUABLE_MISSING_FLOW,The REVIEW_REQUIRED item remains visible and is not reclassified.
reconciliation,nco_reconciliation_bank_quarters,2681,2715,0.9874769797421731,PASS_SUBSET_GROSS_FLOWS,The REVIEW_REQUIRED item remains visible and is not reclassified.
reconciliation,nco_reconciliation_bank_quarters,2,2715,0.0007366482504604051,REVIEW_REQUIRED,The REVIEW_REQUIRED item remains visible and is not reclassified.
reconciliation,capital_reconciliation_bank_quarters,20,2715,0.007366482504604052,NOT_EVALUABLE_MISSING_INPUT,Mapped Tier 1 / RWA is compared with the reported Tier 1 ratio.
reconciliation,capital_reconciliation_bank_quarters,2695,2715,0.992633517495396,PASS_WITHIN_TOLERANCE,Mapped Tier 1 / RWA is compared with the reported Tier 1 ratio.
manual_audit,deterministic_formula_audit,200,200,1.0,PASS,Formula trace status; source-document audit is separately retained.
manual_audit,source_document_audit,100,100,1.0,PASS,"Fixed reproducible source-document sample, not exhaustive validation."
