issue_id,affected_file,finding,evidence,status,owner_stage,affected_outputs,resolution
R1-001,metadata/field_mapping.csv,2746 was incorrectly included as secured CRE construction exposure,Fed MDRM 2746 explicitly excludes loans secured by real estate,CLOSED,R1,standard panel and all downstream outputs,Removed 2746 from CRE exposure mapping and added exclusion regression
R1-002,metadata/field_mapping.csv,Legacy CRE exposure omitted nonfarm nonresidential item 1480,FFIEC 041 2005Q3 form and retained RCCI description row,CLOSED,R1,CRE exposure rates shares and capital ratios,Added RCON1480 to the complete 2005-2007 041 component set
R1-003,src/bankstress/transform/panel.py,CRE detailed stock components were incomplete and used unverified dates,FFIEC historical forms plus retained archive headers,CLOSED,R1,CRE exposure and NCO rate,Added date/form-specific complete stock component requirements
R1-004,src/bankstress/transform/panel.py,Stocks used partial sum(min_count=1) aggregation,R1 failing regression fixtures,CLOSED,R1,all segment exposures and rates,Suppress incomplete aggregates and record status/reason
R1-005,src/bankstress/transform/standardize.py,Mapping form labels were not checked against actual reporter filing form,Official POR member in every retained bulk archive,CLOSED,R1,all form-sensitive fields,Read POR and filter mappings by actual 031/041 form
R1-006,src/bankstress/transform/panel.py,Domestic and consolidated stock/flow scopes could be mixed,FFIEC 031 column definitions and retained archive availability,CLOSED,R1,segment NCO rates,Added scope checks and unavailable 031 CRE/Mortgage range before 2013Q2
R1-007,src/bankstress/transform/flows.py,YTD differencing did not guard filing-form scope changes,R1 failing regression fixture,CLOSED,R1,quarterly gross flows and NCO,Form is now a quarterization grouping boundary
R1-008,data/derived/credit_panel.parquet,Average exposure crossed missing quarters and merger discontinuities,R1 failing regression fixture,CLOSED,R1,NCO rates and model eligibility,Require consecutive same-scope quarters and reject merger-marked averages
R1-009,outputs/models;outputs/validation;outputs/stress;outputs/model_risk;outputs/reporting,Old downstream results depend on invalid upstream definitions,Repair Control requirement,OPEN,R2-R4,all old research results,Marked INVALID_PENDING_REBUILD; owners must regenerate in sequence
R1-010,data/derived/credit_panel.parquet,C&I 2025Q4 missing flows were systematic for 031 because 041 aggregate flow fields are blank,2025Q4 retained RIBI values and description rows show 031 geographic pairs 4645/4646 and 4617/4618,CLOSED,R1,2025Q4 C&I eligible observations,Use complete 031 geographic stock and gross-flow pairs; retain 041 aggregate fields
R1-011,metadata/field_mapping_evidence.csv,031 CRE and Mortgage pre-2013Q2 lack verified consolidated detailed stock mapping,FFIEC 031 scope definition plus retained archive headers,OPEN_LIMITATION,R1,early 031 segment rates,Marked unavailable; scope reduction is explicit and no zeros are imputed
R1-012,outputs/qa/reconciliation_summary.csv,Two isolated core-panel mapped gross-flow upper-bound exceptions remain after repair,Direct current/prior RI-B archive inspection for all mapped and total fields,OPEN_REVIEW,R1,NCO reconciliation QA,Retained as REVIEW_REQUIRED; not a systematic form/date mapping failure and not allow-listed without more evidence
R1-013,outputs/qa/reconciliation_summary.csv,Core-panel Tier1 divided by RWA reconciliation,Direct RC-R archive values,CLOSED,R1,capital reconciliation QA,All 2695 evaluable core bank-quarters pass the existing one-basis-point tolerance
R1-014,data/derived/credit_panel.parquet,FFIEC 051 reporter-quarter interval disappeared when mappings were filtered by actual POR form,"Retained POR members identify RSSD 962966 as Golden Pacific Bank N.A. filing FFIEC 051 in all 20 quarters from 2017Q1 through 2021Q4",CLOSED,R1,panel coverage lags and downstream eligibility,"Retained 60 explicit segment placeholders with form date POR identity and unsupported-form reason; no exposure or flow values are imputed"
